Age,Gender,Income,Location,Ad Type,Ad Topic,Ad Placement,Clicks,Click Time,Conversion Rate,CTR,Impressions,Expected_Conversions,Estimated_Cost,Estimated_Revenue,CPA,ROI
61.0,Male,35717.43,Urban,Banner,Travel,Social Media,3,2024-01-18 20:45:56.898459,0.0981,0.0737,40.70556309362279,0.2943,1.5,11.772,5.096839959225281,6.848
41.0,Male,47453.25,Rural,Video,Travel,Search Engine,5,2023-04-24 20:45:56.898459,0.0937,0.0592,84.45945945945945,0.4685,2.5,18.740000000000002,5.336179295624333,6.496
49.0,Female,68126.35,Rural,Text,Food,Social Media,4,2024-02-24 20:45:56.898459,0.1912,0.0563,71.04795737122558,0.7648,2.0,30.592000000000002,2.615062761506276,14.296000000000001
68.0,Female,64585.73,Suburban,Text,Health,Website,6,2023-12-13 20:45:56.898459,0.1122,0.0232,258.62068965517244,0.6732,3.0,26.928,4.45632798573975,7.976
63.0,Male,21109.4,Urban,Native,Fashion,Search Engine,5,2023-07-02 20:45:56.898459,0.1426,0.0539,92.76437847866418,0.7130000000000001,2.5,28.520000000000003,3.5063113604488074,10.408000000000001
20.0,Male,39576.44,Suburban,Video,Health,Social Media,5,2024-02-19 20:45:56.898459,0.1824,0.0424,117.9245283018868,0.912,2.5,36.480000000000004,2.7412280701754383,13.592000000000002
49.0,Female,64175.02,Rural,Text,Food,Search Engine,6,2023-09-09 20:45:56.898459,0.217,0.0383,156.65796344647518,1.302,3.0,52.08,2.304147465437788,16.36
32.0,Female,86262.4,Rural,Banner,Food,Social Media,4,2023-12-21 20:45:56.898459,0.1728,0.0707,56.57708628005658,0.6912,2.0,27.648000000000003,2.893518518518518,12.824000000000002
33.0,Male,25917.02,Rural,Video,Food,Search Engine,3,2023-10-05 20:45:56.898459,0.0347,0.0488,61.47540983606557,0.1041,1.5,4.164,14.409221902017292,1.7759999999999998
41.0,Male,79881.45,Rural,Text,Technology,Social Media,6,2023-07-25 20:45:56.898459,0.077,0.0268,223.88059701492537,0.46199999999999997,3.0,18.479999999999997,6.493506493506494,5.159999999999999
37.0,Male,23818.88,Rural,Banner,Food,Search Engine,2,2023-11-24 20:45:56.898459,0.2038,0.053,37.735849056603776,0.4076,1.0,16.304000000000002,2.453385672227674,15.304000000000002
56.0,Male,84335.16,Rural,Video,Food,Search Engine,8,2024-01-03 20:45:56.898459,0.164,0.0777,102.96010296010296,1.312,4.0,52.480000000000004,3.048780487804878,12.120000000000001
46.0,Male,14832.77,Urban,Video,Health,Search Engine,4,2023-11-22 20:45:56.898459,0.267,0.0492,81.30081300813008,1.068,2.0,42.72,1.8726591760299625,20.36
36.0,Male,56217.3,Rural,Native,Fashion,Search Engine,3,2023-09-07 20:45:56.898459,0.1816,0.0588,51.02040816326531,0.5448000000000001,1.5,21.792,2.753303964757709,13.528
41.0,Female,18577.67,Suburban,Native,Health,Search Engine,4,2024-04-17 20:45:56.898459,0.3894,0.034,117.6470588235294,1.5576,2.0,62.304,1.2840267077555212,30.152
40.0,Female,36197.15,Suburban,Video,Technology,Website,5,2023-11-08 20:45:56.898459,0.0411,0.0336,148.80952380952382,0.2055,2.5,8.219999999999999,12.165450121654501,2.2879999999999994
57.0,Female,29682.04,Rural,Video,Technology,Search Engine,10,2023-12-07 20:45:56.898459,0.119,0.0538,185.87360594795538,1.19,5.0,47.599999999999994,4.201680672268908,8.52
31.0,Male,58803.46,Urban,Video,Finance,Search Engine,7,2023-06-19 20:45:56.898459,0.0919,0.0716,97.76536312849163,0.6433,3.5,25.732,5.4406964091403704,6.351999999999999
39.0,Male,83984.08,Suburban,Native,Food,Search Engine,2,2024-03-13 20:45:56.898459,0.2154,0.071,28.169014084507044,0.4308,1.0,17.232,2.321262766945218,16.232
22.0,Male,84372.99,Suburban,Native,Food,Website,5,2023-09-25 20:45:56.898459,0.1317,0.0536,93.28358208955224,0.6585000000000001,2.5,26.340000000000003,3.796507213363705,9.536000000000001
,Female,61366.34,Urban,Banner,Health,Search Engine,6,2024-01-04 20:45:56.898459,0.0768,0.0417,143.88489208633092,0.4608,3.0,18.432,6.510416666666667,5.143999999999999
44.0,Male,64462.59,Suburban,Banner,Food,Website,5,2023-10-20 20:45:56.898459,0.2373,0.1022,48.923679060665364,1.1865,2.5,47.46000000000001,2.1070375052675936,17.984
47.0,Female,51481.84,Urban,Native,Health,Search Engine,4,2023-06-08 20:45:56.898459,0.0358,0.0543,73.66482504604052,0.1432,2.0,5.728,13.966480446927374,1.8639999999999999
23.0,Female,43155.09,Rural,Video,Technology,Social Media,4,2023-11-24 20:45:56.898459,0.1346,0.0559,71.55635062611807,0.5384,2.0,21.536,3.7147102526002973,9.768
69.0,Female,40065.86,Rural,Native,Technology,Social Media,1,2024-03-15 20:45:56.898459,0.2226,0.048,20.833333333333332,0.2226,0.5,8.904,2.2461814914645104,16.808
13.0,Female,64109.49,Urban,Video,Finance,Website,5,2023-08-04 20:45:56.898459,0.0773,0.0111,450.45045045045043,0.38649999999999995,2.5,15.459999999999997,6.46830530401035,5.183999999999999
35.0,Male,76422.96,Urban,Banner,Fashion,Website,8,2024-03-20 20:45:56.898459,0.3863,0.0466,171.67381974248926,3.0904,4.0,123.61599999999999,1.2943308309603936,29.903999999999996
32.0,Male,55448.78,Suburban,Native,Health,Social Media,6,2023-10-25 20:45:56.898459,0.5843,0.0777,77.22007722007721,3.5058000000000002,3.0,140.232,0.8557247989046722,45.744
57.0,Female,62817.58,Rural,Native,Food,Website,4,2023-08-20 20:45:56.898459,0.1057,0.0547,73.12614259597807,0.4228,2.0,16.912,4.7303689687795645,7.4559999999999995
57.0,Male,30756.85,Urban,Banner,Travel,Social Media,0,2023-09-11 20:45:56.898459,0.232,0.0508,0.0,0.0,0.0,0.0,,
37.0,Male,43693.41,Urban,Video,Finance,Social Media,6,2023-11-03 20:45:56.898459,0.2854,0.0664,90.36144578313252,1.7124,3.0,68.496,1.7519271198318151,21.831999999999997
40.0,Female,22501.59,Suburban,Banner,Travel,Social Media,4,2024-03-29 20:45:56.898459,0.2823,0.0538,74.34944237918215,1.1292,2.0,45.168,1.7711654268508679,21.584
21.0,Female,63582.98,Urban,Text,Health,Search Engine,4,2023-07-21 20:45:56.898459,0.1279,0.0658,60.79027355623101,0.5116,2.0,20.464000000000002,3.909304143862392,9.232000000000001
5.0,Male,34118.46,Suburban,Banner,Fashion,Search Engine,7,2024-03-02 20:45:56.898459,0.21,0.0666,105.1051051051051,1.47,3.5,58.8,2.380952380952381,15.799999999999999
29.0,Other,29809.49,Suburban,Native,Finance,Search Engine,7,2023-10-28 20:45:56.898459,0.1981,0.0401,174.56359102244392,1.3867,3.5,55.468,2.523977788995457,14.848
37.0,Female,22150.6,Urban,Video,Travel,Website,5,2023-09-07 20:45:56.898459,0.0864,0.0631,79.23930269413628,0.43200000000000005,2.5,17.28,5.787037037037036,5.912000000000001
